Num,Team Name,Team Members,Score,Entries
1,Oleg Trott,Oleg Trott,0,16
2,Humberto Brandão,Humberto Brandão,0.41006,40
3,Ecopoiesis,Ecopoiesis,0.41094,17
4,Pierre Fillard,PierreF,0.42497,6
5,LucyGuo,LucyGuo,0.4254,15
6,r4m0n,r4m0n,0.42683,23
7,Alexander Ryzhkov,Alexander Ryzhkov,0.43059,15
8,Little Boat,Little Boat,0.43299,18
9,kambarakun,kambarakun,0.44092,4
10,AMilkov,AMilkov,0.44475,72
11,YuiYu,_KechodamaTakke,0.44597,11
12,Shize Su,Shize Su,0.44928,21
13,Jure Zbontar,Jure Zbontar,0.45016,3
14,gavrand,gavrand,0.45488,20
15,WAIR,Paul Chen,0.45793,18
16,Gilberto Titericz Junior,Gilberto Titericz Junior,0.459,27
17,dhammack,dhammack,0.4598,2
18,Rodrigo Malacarne,Rodrigo Malacarne,0.46157,71
19,yseeker,yseeker,0.46624,40
20,Toma Hentea,Toma Hentea,0.46796,60
21,Andre,Andre,0.47248,16
22,Alex 2,Alex,0.47885,38
23,Magpie,Shai Ronen,0.48145,6
24,Rob Wishart,Rob Wishart,0.48356,20
25,Wei Dong,Wei Dong,0.49366,2
26,Joel McLeod,Joel McLeod,0.49711,74
27,Tilii,Tilii,0.49844,30
28,yinbaocai,yinbaocai,0.50742,8
29,qfpxfd,dingjwangdhuzqCrazyScientistJiabao,0.5075,25
30,Krispy Dreams,Dan CoombsDavidLauschke,0.50904,10
31,ThinkLoud,ThinkLoud,0.51093,47
32,Lyalikov Artyom,Lyalikov Artyom,0.5142,82
33,Tony Y.,Tony Y.,0.51685,15
34,yitu,Zhenhua Fan,0.51734,19
35,Evis Barbullushi,Evis Barbullushi,0.5177,17
36,nhlx5haze,nhlx5haze,0.5214,7
37,Rome,YuxuanLuo,0.52332,9
38,ShizeLu,ShizeLu,0.52332,18
39,TonyChan,TonyChan,0.52336,26
40,Z.Y.,Z.Y.,0.52344,1
41,Mike 2,Mike,0.52543,12
42,Paulo Pinto,Paulo Pinto,0.52543,26
43,sapere aude,sh1ng,0.52559,1
44,Clark C Maine,Clark,0.52683,28
45,Bojan Tunguz,Bojan Tunguz,0.52715,55
46,malr87,malr87,0.5285,17
47,dreamteam,AlekseiGABA,0.52903,41
48,Leandro Coelho,Leandro Coelho,0.52983,66
49,fei_alpha,fei_alpha,0.53079,14
50,Alexander Izvorski,Alexander Izvorski,0.53132,24
51,ScienceBling,shartooYangJingJing,0.53144,15
52,Vihang Patil,Vihang Patil,0.53149,17
53,Peter Saadbye,Peter Saadbye,0.53216,12
54,Fangda Li,Fangda Li,0.53309,24
55,data dict,data dict,0.53445,20
56,Eduardo Franco,Eduardo Franco,0.53462,25
57,Ateam,Ateam,0.53501,45
58,BlackCore,BlackCore,0.53604,14
59,Everton Silva,Everton Silva,0.53604,9
60,Valentin Tiriac,Valentin Tiriac,0.53622,6
61,Invati Ram,Invati Ram,0.53696,20
62,Alexander,Alexander,0.53707,15
63,ZFTurbo,ZFTurbo,0.53803,11
64,Praveen Adepu,Praveen Adepu,0.53816,16
65,Shuan,Shuan,0.53818,32
66,¯\_(?)_/¯,¯\_(?)_/¯,0.53874,5
67,DeepBrain,Steven LiuShuji HaoDu JiaweiweiwenRick Goh,0.53946,21
68,Cat,Cat,0.53988,36
69,Vicens Gaitan,Vicens Gaitan,0.53991,27
70,JohnM,JohnM,0.54017,19
71,IAmYourFather,IAmYourFather,0.54116,3
72,Abhishek,Abhishek,0.54134,1
73,EXL Analytics,rangerDavisMohd Shadab Alam,0.54148,19
74,feixyz,feixyz,0.5415,8
75,Kele Xu,Début_Kele,0.54156,4
76,Wenlong Shen,Wenlong Shen,0.54158,19
77,nodalpoints,desertnautCostas VoglisOuranos,0.54208,9
78,Ralph Neumann,Ralph Neumann,0.54234,44
79,João Victor,João Victor,0.54252,10
80,Wrosinski,Wojtek Rosinski,0.5426,18
81,clustifier,clustifier,0.54265,20
82,Miika Klemetti,Miika Klemetti,0.54266,3
83,Regreesioner,Regreesioner,0.54266,4
84,VivekMangipudi,VivekMangipudi,0.54266,10
85,RxRx,RxRx,0.54266,55
86,Abhishek Ranjan,Abhishek Ranjan,0.54266,1
87,Eu Yo Ahc,Eu Yo Ahc,0.54266,12
88,deadmau,deadmau,0.54266,48
89,SulaimanVesal,Aramis,0.54266,14
90,Infopulse_team,DimaSakovichKostiantyn Dovgalshevva,0.54266,2
91,Russ Boucher,Russ Boucher,0.54266,7
92,feixuejianhun,feixuejianhun,0.54266,1
93,BenjaminLott,BenjaminLott,0.54266,15
94,Johnny Strings,Johnny Strings,0.54266,10
95,Mathurin Aché,Mathurin Aché,0.54266,23
96,RobertColeman,RobertColeman,0.54266,11
97,Akila Wajirasena,Akila Wajirasena,0.54266,14
98,GxweP1,GxweP1,0.54266,16
99,OverfitterScientist,OverfitterScientist,0.54266,42
100,NxGTR,NxGTR,0.54266,15
101,Yuqing Xue,Yuqing Xue,0.54266,1
102,ilovescience,ilovescience,0.54266,8
103,Murilo Gazzola,Gazzola M.,0.54266,13
104,hitszzy,hitszzy,0.54266,3
105,DL,DL,0.54266,7
106,Niranjan Singh,Niranjan Singh,0.54266,1
107,Marius Bock,Marius Bock,0.54266,3
108,Alexandr Seleznyov,Alexandr Seleznyov,0.54266,2
109,tinkerkraft,Prasad S NaikJassiMohit,0.54266,14
110,tkchka,tkchka,0.54266,4
111,Niranjan Kumar Nakkala,Niranjan Kumar Nakkala,0.54266,1
112,John Seamons,John Seamons,0.54266,2
113,Tina,Tina,0.54266,1
114,fsodogandji,fsodogandji,0.54266,1
115,Willie Liao,Willie Liao,0.54266,1
116,HelloGo,HelloGo,0.54266,1
117,HirokiAramaki,HirokiAramaki,0.54266,4
118,Kevin Soucy,Kevin Soucy,0.54266,11
119,Pavel Svintsov,Pavel Svintsov,0.54266,4
120,NirKarpati,NirKarpati,0.54266,28
121,Erwan Le Covec,erwanlc,0.54266,11
122,Julien Heiduk,Julien Heiduk,0.54266,3
123,AMOD,Sabine McConnellMitebTaylor W+5,0.54266,7
124,Vlad Balanda,Vlad Balanda,0.54266,43
125,Roxana Mihai,Roxana Mihai,0.54277,20
126,DeepCube,SecondPlan,0.5428,12
127,Rohith M L,Rohith M L,0.54304,10
128,Fayzur,Fayzur,0.54341,12
129,NikolayBurlutskiy,NikolayBurlutskiy,0.54351,7
130,Janos,Janos,0.54385,29
131,Hakeem,Hakeem,0.54386,1
132,Maciej,Maciej,0.54386,15
133,sp,sp,0.54386,7
134,Super Challenger,Super_Challenger,0.54386,2
135,Datador,Datador,0.54386,1
136,Saurabh Gupta,Saurabh Gupta,0.54386,7
137,Chakkrit Termritthikun,Chakkrit Termritthikun,0.54386,26
138,AnassAlouane,AnassAlouane,0.54386,4
139,deep_learning_w,deep_learning_w,0.54386,3
140,DEVAS,andrekosraigon,0.54386,4
141,XKaggler,XKaggler,0.54386,1
142,Lungar,Abhinav AgarwallaArnavJainpph46ArnaGhosh,0.54386,4
143,SPECTRE RIDER,Sidharth,0.54386,18
144,nfiniity,apgeorgfirolino,0.54386,20
145,HDKIM,HDKIM,0.54393,42
146,Easy-Company,PanissonPaoloB,0.54401,4
147,ZZ Top,Alexey VoropaevSergei BernadskyVladimir KhramovDmitry V. S.,0.54449,7
148,Aditya_,Aditya,0.54456,1
149,threedB,threedB,0.54458,6
150,Seunghee Lee,Seunghee Lee,0.54458,3
151,CeShine Lee,CeShine Lee,0.54458,12
152,Nishant Kumar,Nishant Kumar,0.54458,1
153,Rezha Julio,Rezha Julio,0.54458,2
154,ilyes,ilyes,0.54458,1
155,Achal,Achal,0.54458,2
156,Isaac,Isaac,0.54458,2
157,jesting.pilate,jesting.pilate,0.54458,2
158,Srikanth Sankaran Iyer,Srikanth Sankaran Iyer,0.54458,2
159,Alexey Matveev,Alexey Matveev,0.54458,1
160,SaeedAzarshab,SaeedAzarshab,0.54458,1
161,Elena Cuoco,Elena Cuoco,0.54458,19
162,jacobkie,jacobkie,0.54473,15
163,Daniel Adornes,Daniel Adornes,0.54475,2
164,BMC Innovo,BMC Innovo,0.54524,1
165,JZIMA,JZIMA,0.54572,2
166,Chris Halfacre,Chris Halfacre,0.54572,18
167,NickShargan,NickShargan,0.54573,15
168,Cosmos,Tien-Dung Le,0.54593,3
169,MojoJojo,MojoJojo,0.54593,2
170,Florian Laroumagne,Florian Laroumagne,0.54635,2
171,Patrick Chan,Patrick Chan,0.54652,3
172,Mads,Mads,0.54715,13
173,xENHANCED_,xENHANCED_,0.54746,22
174,xyz,xyz,0.5475,4
175,KGA,KGA,0.54758,21
176,William Hau,William Hau,0.54758,4
177,Nilotpal Sinha,Nilotpal Sinha,0.54758,5
178,Amine Akrout,Amine Akrout,0.54758,2
179,srinivas mudhiraj,srinivas mudhiraj,0.54758,1
180,AustinPowell,AustinPowell,0.54758,2
181,hemant,hemant,0.54758,1
182,Sasho Nedelkoski,Sasho Nedelkoski,0.54758,1
183,Yinan,Yinan,0.54759,1
184,Alexander Larko,Alexander  Larko,0.54768,10
185,U023,Hyun Ook Ryu,0.54778,2
186,GMR_,GMR_,0.54802,1
187,Travis Glines,Travis Glines,0.54853,20
188,Akhilesh Kumar,AK,0.54853,29
189,Pan Tofelek,Grzegorz Sionkowski,0.54861,26
190,Lamb,Lamb,0.54894,18
191,Bohdan Pavlyshenko,Bohdan Pavlyshenko,0.54903,14
192,Airon,Airon,0.54926,25
193,Aindriú,Aindriú,0.54968,7
194,Oleg Panichev,Oleg Panichev,0.54975,6
195,irinaai,irinaai,0.54975,1
196,SonicAlch3mist,SonicAlch3mistGirish,0.54995,17
197,Chenkai Li,Chenkai Li,0.55007,2
198,"Great Lakes, Chennai",Bharat S Raj,0.55007,6
199,Jadiel,Jadiel,0.55007,3
200,Harw,Harw,0.55007,2
201,Medrr,Medrr,0.55012,58
202,Avichai Tendler,Avichai Tendler,0.55019,3
203,Manoj Pathak,Manoj Pathak,0.55035,1
204,DrorSh,DrorSh,0.55054,6
205,Matteo Franchi,Matteo Franchi,0.55059,34
206,Aditya Thakur,Aditya Thakur,0.55063,12
207,Arijit,Arijit,0.55068,2
208,DATA-MAN,DATA-MAN,0.55082,12
209,JeffH,JeffH,0.55082,1
210,insist,insist,0.55108,1
211,saturday1949,saturday1949Johnny,0.55125,21
212,crownpku,crownpku,0.55125,3
213,DAC team,Alexey Ushakov,0.55125,7
214,none,none,0.55125,1
215,vbk,vbk,0.55125,2
216,SD_564,SD_564,0.55125,1
217,Mandelbrot,Roberto Ruiz,0.55125,17
218,fromAtoB,fromAtoB,0.55125,3
219,pym1993,pym1993,0.55125,3
220,chelovek,chelovek,0.55125,9
221,Andrew Kreimer,algonell,0.55125,4
222,Shark,Shark,0.55125,2
223,Tong,Tong,0.55125,2
224,iris2007,iris2007,0.55164,4
225,SY,Sergey Yurgenson,0.55182,8
226,Konrad Banachewicz,Konrad Banachewicz,0.55195,3
227,Scirpus,Scirpus,0.55225,6
